timestamp,gas1,gas2,gas3,gas4
0,502.0,395.0,384.0,72.0
100,502.0,394.0,385.0,73.0
200,503.0,394.0,386.0,73.0
300,503.0,393.0,386.0,73.0
400,504.0,393.0,386.0,73.0
500,503.0,392.0,387.0,74.0
600,504.0,391.0,388.0,74.0
700,506.0,391.0,388.0,74.0
800,505.0,390.0,388.0,74.0
900,507.0,389.0,388.0,75.0
1000,507.0,388.0,388.0,75.0
1100,508.0,388.0,389.0,74.0
1200,508.0,387.0,389.0,75.0
1300,508.0,387.0,391.0,74.0
1400,509.0,386.0,391.0,75.0
1500,509.0,386.0,392.0,74.0
1600,510.0,385.0,391.0,75.0
1700,510.0,385.0,392.0,75.0
1800,511.0,384.0,393.0,75.0
1900,512.0,385.0,393.0,75.0
2000,513.0,384.0,393.0,75.0
2100,513.0,384.0,394.0,75.0
2200,514.0,382.0,394.0,75.0
2300,514.0,382.0,394.0,76.0
2400,515.0,381.0,395.0,76.0
2500,514.0,381.0,395.0,75.0
2600,516.0,380.0,396.0,75.0
2700,517.0,380.0,395.0,75.0
2800,516.0,379.0,395.0,76.0
2900,518.0,379.0,396.0,76.0
3000,517.0,379.0,396.0,76.0
3100,518.0,378.0,397.0,76.0
3200,518.0,377.0,397.0,77.0
3300,520.0,376.0,397.0,76.0
3400,519.0,377.0,397.0,77.0
3500,519.0,376.0,397.0,77.0
3600,520.0,375.0,398.0,78.0
3700,521.0,375.0,397.0,77.0
3800,521.0,374.0,398.0,78.0
3900,521.0,374.0,398.0,77.0
4000,521.0,373.0,397.0,78.0
4100,522.0,372.0,397.0,77.0
4200,523.0,373.0,397.0,78.0
4300,523.0,373.0,397.0,78.0
4400,523.0,372.0,398.0,78.0
4500,523.0,371.0,398.0,78.0
4600,524.0,370.0,398.0,78.0
4700,525.0,370.0,399.0,79.0
4800,525.0,370.0,400.0,79.0
4900,525.0,370.0,401.0,79.0
5000,525.0,369.0,401.0,80.0
5100,527.0,368.0,402.0,80.0
5200,526.0,368.0,402.0,80.0
5300,525.0,368.0,403.0,81.0
5400,527.0,368.0,403.0,81.0
5500,526.0,367.0,403.0,80.0
5600,527.0,367.0,404.0,81.0
5700,528.0,367.0,404.0,81.0
5800,528.0,366.0,404.0,81.0
5900,528.0,366.0,404.0,82.0
6000,528.0,365.0,406.0,81.0
6100,529.0,364.0,405.0,82.0
6200,528.0,364.0,406.0,82.0
6300,529.0,365.0,408.0,82.0
6400,529.0,364.0,408.0,82.0
6500,530.0,364.0,409.0,82.0
6600,529.0,363.0,410.0,83.0
6700,530.0,362.0,411.0,83.0
6800,531.0,362.0,411.0,82.0
6900,532.0,362.0,412.0,83.0
