timestamp,gas1,gas2,gas3,gas4
0,254.0,45.0,313.0,82.0
100,254.0,45.0,314.0,82.0
200,254.0,45.0,317.0,84.0
300,253.0,46.0,318.0,84.0
400,254.0,47.0,322.0,85.0
500,254.0,47.0,325.0,85.0
600,256.0,48.0,327.0,87.0
700,257.0,48.0,330.0,87.0
800,259.0,48.0,334.0,88.0
900,260.0,49.0,338.0,88.0
1000,262.0,49.0,344.0,88.0
1100,264.0,49.0,349.0,90.0
1200,265.0,49.0,354.0,90.0
1300,267.0,49.0,357.0,90.0
1400,267.0,50.0,359.0,91.0
1500,269.0,50.0,358.0,92.0
1600,270.0,50.0,360.0,92.0
1700,272.0,50.0,361.0,91.0
1800,273.0,49.0,363.0,92.0
1900,275.0,50.0,365.0,92.0
2000,276.0,50.0,366.0,92.0
2100,278.0,50.0,370.0,93.0
2200,278.0,50.0,372.0,94.0
2300,278.0,50.0,373.0,93.0
2400,279.0,50.0,374.0,94.0
2500,279.0,50.0,376.0,94.0
2600,279.0,50.0,377.0,95.0
2700,280.0,50.0,380.0,94.0
2800,282.0,51.0,380.0,94.0
2900,281.0,51.0,380.0,95.0
3000,281.0,51.0,380.0,95.0
3100,281.0,51.0,379.0,95.0
3200,281.0,52.0,378.0,95.0
3300,281.0,52.0,375.0,95.0
3400,282.0,51.0,373.0,94.0
3500,282.0,50.0,370.0,94.0
3600,280.0,51.0,367.0,93.0
3700,279.0,50.0,365.0,93.0
3800,278.0,50.0,362.0,93.0
3900,275.0,49.0,358.0,92.0
4000,274.0,49.0,353.0,91.0
4100,271.0,49.0,352.0,91.0
4200,271.0,49.0,351.0,91.0
4300,268.0,48.0,349.0,91.0
4400,267.0,48.0,348.0,90.0
4500,266.0,49.0,346.0,91.0
4600,264.0,48.0,343.0,91.0
4700,264.0,49.0,342.0,90.0
4800,265.0,48.0,342.0,91.0
4900,268.0,48.0,343.0,90.0
5000,271.0,49.0,345.0,90.0
5100,273.0,50.0,346.0,90.0
5200,275.0,49.0,345.0,90.0
5300,278.0,51.0,347.0,91.0
5400,279.0,51.0,347.0,90.0
5500,280.0,50.0,346.0,90.0
5600,280.0,50.0,344.0,90.0
5700,281.0,49.0,343.0,89.0
5800,279.0,50.0,340.0,89.0
5900,278.0,49.0,338.0,89.0
6000,277.0,50.0,337.0,88.0
6100,275.0,48.0,334.0,88.0
6200,274.0,49.0,333.0,88.0
6300,271.0,48.0,330.0,87.0
6400,269.0,48.0,328.0,87.0
6500,268.0,48.0,326.0,86.0
6600,266.0,47.0,323.0,86.0
6700,265.0,47.0,323.0,85.0
6800,264.0,47.0,320.0,85.0
6900,262.0,46.0,318.0,84.0
7000,260.0,46.0,316.0,84.0
7100,259.0,46.0,316.0,84.0
7200,256.0,46.0,314.0,84.0
7300,256.0,46.0,315.0,83.0
7400,256.0,46.0,315.0,84.0
7500,257.0,46.0,317.0,84.0
7600,257.0,47.0,320.0,84.0
7700,256.0,46.0,322.0,85.0
7800,258.0,46.0,325.0,86.0
7900,260.0,47.0,330.0,86.0
8000,262.0,47.0,335.0,87.0
8100,264.0,47.0,340.0,87.0
8200,266.0,48.0,343.0,88.0
8300,271.0,49.0,347.0,88.0
8400,273.0,49.0,348.0,89.0
8500,276.0,48.0,350.0,89.0
8600,278.0,49.0,349.0,89.0
8700,280.0,49.0,351.0,90.0
8800,279.0,49.0,351.0,89.0
8900,278.0,48.0,349.0,89.0
9000,277.0,48.0,345.0,89.0
9100,274.0,48.0,343.0,89.0
9200,273.0,48.0,341.0,89.0
9300,272.0,48.0,338.0,88.0
9400,269.0,47.0,337.0,89.0
9500,268.0,47.0,334.0,89.0
9600,267.0,47.0,333.0,89.0
9700,264.0,47.0,331.0,89.0
9800,262.0,47.0,331.0,89.0
