timestamp,gas1,gas2,gas3,gas4
0,372.0,45.0,710.0,426.0
100,372.0,46.0,710.0,427.0
200,372.0,44.0,710.0,426.0
300,371.0,46.0,710.0,427.0
400,371.0,45.0,710.0,426.0
500,371.0,45.0,709.0,427.0
600,372.0,46.0,709.0,427.0
700,372.0,46.0,708.0,426.0
800,371.0,46.0,708.0,427.0
900,372.0,45.0,707.0,426.0
1000,372.0,46.0,708.0,426.0
1100,372.0,44.0,708.0,426.0
1200,372.0,45.0,708.0,426.0
1300,372.0,45.0,708.0,426.0
1400,372.0,45.0,707.0,426.0
1500,372.0,45.0,707.0,425.0
1600,371.0,45.0,708.0,425.0
1700,372.0,45.0,707.0,426.0
1800,372.0,45.0,708.0,424.0
1900,372.0,45.0,708.0,425.0
2000,372.0,45.0,706.0,425.0
2100,372.0,45.0,708.0,425.0
2200,372.0,45.0,707.0,425.0
2300,371.0,45.0,708.0,425.0
2400,372.0,45.0,708.0,424.0
2500,371.0,45.0,708.0,425.0
2600,372.0,45.0,708.0,425.0
2700,373.0,45.0,709.0,425.0
2800,373.0,45.0,709.0,424.0
2900,372.0,45.0,708.0,424.0
3000,373.0,45.0,709.0,424.0
3100,372.0,45.0,709.0,425.0
3200,372.0,44.0,709.0,424.0
3300,372.0,45.0,710.0,425.0
3400,372.0,45.0,709.0,425.0
3500,372.0,45.0,710.0,425.0
3600,371.0,45.0,709.0,427.0
3700,372.0,45.0,711.0,425.0
3800,371.0,45.0,710.0,426.0
3900,372.0,45.0,710.0,426.0
4000,371.0,45.0,710.0,426.0
4100,371.0,45.0,709.0,426.0
4200,372.0,45.0,709.0,426.0
4300,372.0,45.0,709.0,426.0
4400,371.0,45.0,709.0,426.0
4500,372.0,44.0,709.0,425.0
4600,372.0,45.0,707.0,426.0
4700,371.0,45.0,706.0,427.0
4800,371.0,46.0,705.0,426.0
4900,371.0,45.0,703.0,426.0
5000,371.0,45.0,703.0,425.0
5100,371.0,45.0,702.0,424.0
5200,371.0,45.0,700.0,424.0
5300,371.0,45.0,699.0,423.0
5400,370.0,45.0,697.0,423.0
5500,371.0,45.0,697.0,423.0
5600,370.0,45.0,697.0,421.0
5700,370.0,45.0,698.0,422.0
5800,370.0,45.0,696.0,420.0
5900,371.0,45.0,695.0,419.0
6000,371.0,45.0,693.0,418.0
6100,371.0,45.0,691.0,415.0
6200,371.0,45.0,688.0,414.0
6300,370.0,45.0,685.0,413.0
6400,371.0,45.0,683.0,412.0
6500,371.0,45.0,681.0,410.0
6600,371.0,44.0,680.0,410.0
6700,370.0,44.0,678.0,407.0
6800,370.0,45.0,676.0,406.0
6900,370.0,44.0,674.0,405.0
7000,370.0,45.0,673.0,403.0
7100,370.0,45.0,672.0,402.0
7200,371.0,45.0,672.0,400.0
7300,371.0,45.0,672.0,399.0
7400,370.0,45.0,672.0,398.0
7500,371.0,44.0,672.0,398.0
7600,371.0,45.0,672.0,397.0
7700,371.0,45.0,674.0,396.0
7800,370.0,45.0,674.0,395.0
7900,370.0,45.0,675.0,395.0
8000,370.0,44.0,676.0,394.0
8100,371.0,44.0,677.0,393.0
8200,370.0,45.0,677.0,395.0
8300,370.0,45.0,678.0,395.0
8400,369.0,45.0,679.0,395.0
8500,371.0,44.0,680.0,395.0
8600,370.0,45.0,681.0,396.0
8700,370.0,45.0,682.0,396.0
8800,370.0,45.0,683.0,397.0
