timestamp,gas1,gas2,gas3,gas4
0,529.0,98.0,542.0,179.0
100,528.0,99.0,542.0,178.0
200,528.0,98.0,542.0,178.0
300,529.0,98.0,541.0,178.0
400,529.0,98.0,541.0,177.0
500,529.0,98.0,542.0,178.0
600,528.0,99.0,542.0,178.0
700,529.0,99.0,542.0,178.0
800,529.0,99.0,542.0,178.0
900,529.0,99.0,541.0,178.0
1000,529.0,98.0,542.0,178.0
1100,528.0,98.0,542.0,177.0
1200,529.0,98.0,542.0,178.0
1300,529.0,98.0,542.0,178.0
1400,529.0,98.0,541.0,178.0
1500,529.0,98.0,542.0,178.0
1600,529.0,99.0,542.0,178.0
1700,529.0,98.0,542.0,178.0
1800,528.0,98.0,542.0,178.0
1900,529.0,99.0,541.0,178.0
2000,529.0,98.0,542.0,178.0
2100,528.0,98.0,542.0,177.0
2200,530.0,99.0,542.0,178.0
2300,528.0,99.0,542.0,178.0
2400,529.0,98.0,542.0,178.0
2500,529.0,99.0,542.0,178.0
2600,528.0,98.0,542.0,178.0
2700,529.0,99.0,542.0,178.0
2800,529.0,99.0,542.0,177.0
2900,529.0,98.0,542.0,178.0
3000,529.0,98.0,542.0,178.0
3100,529.0,99.0,542.0,178.0
3200,529.0,99.0,542.0,177.0
3300,528.0,99.0,541.0,177.0
3400,529.0,99.0,541.0,178.0
3500,528.0,99.0,541.0,177.0
3600,528.0,99.0,542.0,178.0
3700,529.0,99.0,542.0,178.0
3800,529.0,99.0,541.0,179.0
3900,529.0,99.0,541.0,178.0
4000,528.0,99.0,542.0,178.0
4100,528.0,98.0,541.0,178.0
4200,528.0,99.0,542.0,178.0
4300,528.0,99.0,542.0,179.0
4400,528.0,99.0,542.0,179.0
4500,529.0,98.0,541.0,178.0
4600,529.0,99.0,542.0,178.0
4700,529.0,98.0,541.0,178.0
4800,528.0,98.0,542.0,179.0
4900,529.0,99.0,542.0,178.0
5000,529.0,98.0,542.0,178.0
5100,528.0,99.0,541.0,178.0
5200,529.0,98.0,542.0,177.0
5300,529.0,99.0,542.0,178.0
5400,529.0,98.0,541.0,178.0
5500,529.0,98.0,541.0,178.0
5600,528.0,98.0,541.0,178.0
5700,529.0,98.0,542.0,179.0
5800,529.0,99.0,541.0,177.0
5900,529.0,98.0,542.0,178.0
6000,529.0,98.0,541.0,178.0
6100,529.0,99.0,541.0,178.0
6200,528.0,99.0,541.0,178.0
6300,529.0,98.0,542.0,179.0
6400,528.0,99.0,541.0,179.0
6500,528.0,98.0,542.0,178.0
6600,529.0,98.0,542.0,178.0
6700,529.0,98.0,541.0,178.0
6800,529.0,98.0,542.0,179.0
6900,529.0,98.0,541.0,179.0
7000,529.0,98.0,541.0,179.0
7100,528.0,99.0,542.0,178.0
7200,528.0,99.0,542.0,178.0
7300,529.0,98.0,541.0,178.0
7400,529.0,99.0,541.0,179.0
7500,529.0,99.0,541.0,178.0
7600,529.0,98.0,542.0,178.0
7700,528.0,98.0,542.0,178.0
7800,529.0,99.0,542.0,178.0
7900,527.0,98.0,542.0,178.0
8000,528.0,99.0,542.0,178.0
8100,529.0,99.0,541.0,178.0
8200,529.0,99.0,541.0,178.0
8300,528.0,98.0,542.0,177.0
8400,529.0,99.0,542.0,178.0
8500,528.0,98.0,541.0,178.0
8600,528.0,99.0,542.0,178.0
8700,528.0,98.0,541.0,178.0
8800,528.0,98.0,542.0,178.0
8900,529.0,99.0,542.0,178.0
9000,528.0,99.0,542.0,178.0
9100,529.0,99.0,542.0,178.0
9200,528.0,99.0,542.0,178.0
9300,529.0,98.0,541.0,178.0
9400,529.0,99.0,542.0,178.0
9500,529.0,98.0,542.0,178.0
9600,529.0,98.0,542.0,178.0
9700,528.0,99.0,541.0,178.0
9800,529.0,99.0,542.0,178.0
9900,529.0,99.0,542.0,178.0
10000,529.0,99.0,542.0,177.0
10100,529.0,99.0,542.0,177.0
10200,528.0,99.0,542.0,178.0
10300,529.0,99.0,541.0,178.0
10400,529.0,98.0,541.0,179.0
10500,528.0,99.0,541.0,178.0
10600,528.0,99.0,541.0,178.0
10700,529.0,98.0,542.0,179.0
10800,528.0,98.0,542.0,178.0
10900,528.0,98.0,541.0,178.0
11000,529.0,99.0,542.0,178.0
11100,528.0,98.0,542.0,178.0
11200,529.0,98.0,542.0,178.0
11300,529.0,99.0,541.0,178.0
11400,528.0,98.0,542.0,178.0
11500,529.0,99.0,542.0,178.0
11600,529.0,99.0,542.0,179.0
11700,528.0,98.0,542.0,178.0
11800,528.0,98.0,542.0,178.0
11900,528.0,99.0,542.0,177.0
12000,528.0,98.0,542.0,179.0
12100,529.0,98.0,542.0,178.0
12200,528.0,98.0,541.0,178.0
12300,528.0,98.0,542.0,178.0
12400,529.0,98.0,542.0,178.0
12500,528.0,99.0,541.0,179.0
