timestamp,gas1,gas2,gas3,gas4
0,371.0,56.0,708.0,417.0
100,372.0,55.0,709.0,418.0
200,372.0,55.0,709.0,418.0
300,372.0,56.0,708.0,418.0
400,372.0,56.0,708.0,417.0
500,372.0,56.0,708.0,417.0
600,371.0,56.0,708.0,418.0
700,372.0,56.0,709.0,416.0
800,371.0,56.0,707.0,416.0
900,371.0,56.0,708.0,417.0
1000,371.0,55.0,707.0,417.0
1100,372.0,55.0,708.0,416.0
1200,372.0,56.0,708.0,416.0
1300,371.0,56.0,707.0,415.0
1400,372.0,56.0,708.0,417.0
1500,372.0,55.0,707.0,417.0
1600,371.0,56.0,708.0,415.0
1700,372.0,56.0,708.0,416.0
1800,371.0,56.0,707.0,416.0
1900,371.0,56.0,707.0,416.0
2000,372.0,56.0,707.0,415.0
2100,372.0,55.0,707.0,416.0
2200,371.0,55.0,708.0,416.0
2300,371.0,55.0,708.0,417.0
2400,371.0,55.0,707.0,416.0
2500,372.0,56.0,708.0,416.0
2600,372.0,56.0,707.0,416.0
2700,371.0,56.0,708.0,414.0
2800,372.0,56.0,707.0,415.0
2900,371.0,56.0,706.0,414.0
3000,371.0,55.0,705.0,412.0
3100,371.0,56.0,703.0,412.0
3200,372.0,56.0,703.0,412.0
3300,371.0,56.0,701.0,410.0
3400,371.0,56.0,701.0,411.0
3500,372.0,56.0,701.0,410.0
3600,372.0,56.0,701.0,409.0
3700,372.0,56.0,701.0,409.0
3800,372.0,55.0,701.0,409.0
3900,371.0,56.0,700.0,408.0
4000,372.0,56.0,701.0,410.0
4100,372.0,56.0,701.0,408.0
4200,372.0,55.0,702.0,408.0
4300,372.0,55.0,703.0,408.0
4400,372.0,55.0,703.0,410.0
4500,372.0,55.0,704.0,410.0
4600,372.0,55.0,704.0,410.0
4700,371.0,56.0,706.0,411.0
4800,372.0,56.0,705.0,411.0
4900,371.0,55.0,706.0,411.0
5000,372.0,56.0,707.0,412.0
5100,372.0,56.0,707.0,412.0
5200,372.0,55.0,706.0,412.0
5300,372.0,55.0,707.0,413.0
5400,372.0,56.0,708.0,414.0
5500,372.0,56.0,708.0,414.0
5600,372.0,55.0,708.0,414.0
5700,372.0,56.0,708.0,414.0
5800,371.0,56.0,709.0,414.0
5900,372.0,56.0,709.0,414.0
6000,372.0,55.0,708.0,416.0
6100,371.0,55.0,709.0,414.0
6200,371.0,56.0,709.0,416.0
6300,372.0,56.0,708.0,416.0
6400,372.0,55.0,708.0,416.0
6500,372.0,56.0,709.0,416.0
6600,372.0,55.0,708.0,416.0
6700,371.0,55.0,707.0,416.0
6800,372.0,55.0,707.0,416.0
6900,372.0,56.0,705.0,416.0
