timestamp,gas1,gas2,gas3,gas4
0,373.0,49.0,678.0,396.0
100,372.0,49.0,677.0,396.0
200,373.0,49.0,678.0,396.0
300,371.0,48.0,677.0,397.0
400,373.0,49.0,678.0,397.0
500,372.0,49.0,678.0,398.0
600,373.0,49.0,677.0,398.0
700,372.0,49.0,678.0,398.0
800,372.0,49.0,676.0,399.0
900,373.0,49.0,677.0,399.0
1000,372.0,48.0,676.0,399.0
1100,372.0,49.0,675.0,399.0
1200,372.0,48.0,674.0,399.0
1300,372.0,49.0,675.0,398.0
1400,372.0,49.0,675.0,398.0
1500,371.0,49.0,674.0,398.0
1600,371.0,49.0,675.0,398.0
1700,373.0,49.0,676.0,398.0
1800,372.0,49.0,676.0,398.0
1900,373.0,49.0,676.0,398.0
2000,372.0,49.0,676.0,399.0
2100,372.0,48.0,678.0,398.0
2200,373.0,49.0,679.0,398.0
2300,373.0,49.0,680.0,398.0
2400,373.0,49.0,682.0,399.0
2500,372.0,49.0,683.0,399.0
2600,373.0,49.0,685.0,400.0
2700,373.0,49.0,686.0,400.0
2800,372.0,48.0,687.0,400.0
2900,373.0,49.0,688.0,401.0
3000,373.0,49.0,689.0,402.0
3100,373.0,49.0,690.0,403.0
3200,373.0,49.0,691.0,403.0
3300,372.0,49.0,691.0,405.0
3400,372.0,49.0,692.0,404.0
3500,372.0,50.0,692.0,405.0
3600,372.0,50.0,694.0,406.0
3700,372.0,49.0,694.0,407.0
3800,372.0,49.0,695.0,407.0
3900,372.0,49.0,694.0,408.0
4000,372.0,48.0,694.0,409.0
4100,373.0,49.0,695.0,409.0
4200,373.0,49.0,694.0,410.0
4300,373.0,49.0,695.0,410.0
4400,371.0,49.0,695.0,410.0
4500,372.0,49.0,695.0,412.0
4600,372.0,49.0,696.0,410.0
4700,373.0,49.0,696.0,412.0
4800,372.0,49.0,696.0,413.0
4900,373.0,49.0,696.0,414.0
5000,373.0,49.0,696.0,413.0
5100,373.0,49.0,697.0,414.0
5200,373.0,49.0,696.0,413.0
5300,373.0,49.0,696.0,413.0
5400,373.0,49.0,696.0,414.0
5500,373.0,49.0,696.0,414.0
5600,372.0,49.0,696.0,415.0
5700,372.0,49.0,696.0,414.0
5800,373.0,49.0,696.0,414.0
5900,373.0,49.0,696.0,415.0
6000,373.0,49.0,695.0,414.0
6100,373.0,49.0,695.0,414.0
6200,373.0,49.0,695.0,414.0
6300,372.0,49.0,695.0,414.0
6400,373.0,49.0,695.0,415.0
6500,373.0,49.0,696.0,415.0
6600,373.0,49.0,696.0,415.0
6700,374.0,49.0,696.0,415.0
6800,372.0,49.0,697.0,415.0
6900,373.0,48.0,696.0,414.0
7000,373.0,49.0,697.0,415.0
7100,373.0,49.0,697.0,415.0
7200,372.0,50.0,697.0,416.0
7300,373.0,49.0,698.0,415.0
7400,373.0,49.0,699.0,415.0
7500,372.0,49.0,699.0,414.0
7600,373.0,49.0,699.0,416.0
7700,372.0,49.0,699.0,417.0
7800,372.0,49.0,700.0,416.0
7900,372.0,49.0,701.0,417.0
8000,374.0,49.0,700.0,417.0
8100,373.0,49.0,701.0,416.0
8200,372.0,49.0,702.0,416.0
8300,373.0,49.0,702.0,417.0
8400,373.0,49.0,703.0,417.0
8500,373.0,50.0,702.0,418.0
8600,373.0,49.0,703.0,417.0
8700,374.0,50.0,703.0,418.0
8800,373.0,49.0,704.0,418.0
8900,373.0,49.0,704.0,417.0
9000,373.0,49.0,704.0,417.0
9100,373.0,49.0,703.0,416.0
9200,373.0,49.0,702.0,416.0
9300,374.0,49.0,702.0,415.0
9400,373.0,48.0,701.0,414.0
9500,373.0,49.0,699.0,412.0
9600,374.0,49.0,699.0,412.0
9700,373.0,49.0,698.0,411.0
9800,373.0,48.0,696.0,410.0
9900,373.0,49.0,696.0,409.0
10000,373.0,49.0,696.0,407.0
10100,374.0,49.0,696.0,407.0
10200,373.0,49.0,696.0,405.0
10300,373.0,49.0,696.0,404.0
10400,373.0,49.0,696.0,402.0
10500,374.0,49.0,696.0,401.0
10600,373.0,49.0,696.0,401.0
10700,373.0,49.0,697.0,399.0
10800,373.0,48.0,697.0,399.0
10900,373.0,49.0,698.0,398.0
11000,373.0,49.0,698.0,398.0
11100,372.0,49.0,699.0,397.0
11200,373.0,49.0,699.0,397.0
11300,374.0,48.0,699.0,397.0
11400,373.0,49.0,701.0,397.0
11500,373.0,49.0,701.0,398.0
11600,373.0,49.0,702.0,398.0
11700,373.0,49.0,701.0,398.0
11800,373.0,48.0,702.0,399.0
11900,372.0,49.0,701.0,400.0
12000,373.0,49.0,703.0,400.0
12100,373.0,49.0,704.0,402.0
12200,373.0,48.0,704.0,401.0
12300,373.0,49.0,705.0,403.0
12400,373.0,49.0,704.0,402.0
12500,373.0,49.0,704.0,403.0
12600,373.0,49.0,704.0,405.0
12700,372.0,49.0,704.0,406.0
12800,373.0,49.0,704.0,408.0
12900,373.0,49.0,704.0,407.0
13000,373.0,48.0,704.0,409.0
13100,374.0,49.0,702.0,410.0
13200,373.0,49.0,702.0,411.0
13300,373.0,49.0,702.0,411.0
13400,372.0,49.0,700.0,410.0
13500,373.0,48.0,699.0,410.0
13600,373.0,49.0,699.0,409.0
13700,373.0,49.0,699.0,411.0
13800,373.0,49.0,699.0,410.0
13900,373.0,48.0,698.0,411.0
14000,374.0,49.0,697.0,410.0
14100,373.0,48.0,697.0,409.0
14200,373.0,48.0,696.0,409.0
14300,373.0,49.0,696.0,409.0
14400,374.0,49.0,697.0,408.0
14500,373.0,49.0,696.0,408.0
14600,374.0,49.0,697.0,407.0
14700,374.0,49.0,698.0,406.0
14800,372.0,49.0,698.0,407.0
14900,373.0,49.0,699.0,406.0
15000,373.0,49.0,699.0,406.0
15100,374.0,49.0,699.0,406.0
15200,373.0,49.0,699.0,406.0
15300,374.0,49.0,698.0,406.0
15400,373.0,49.0,699.0,406.0
15500,372.0,49.0,698.0,405.0
15600,373.0,49.0,697.0,404.0
15700,373.0,48.0,696.0,406.0
15800,373.0,49.0,696.0,406.0
15900,372.0,49.0,696.0,407.0
16000,373.0,49.0,697.0,407.0
16100,374.0,49.0,695.0,406.0
16200,372.0,49.0,696.0,407.0
16300,373.0,49.0,694.0,407.0
16400,373.0,49.0,694.0,407.0
16500,372.0,49.0,692.0,407.0
16600,373.0,49.0,692.0,407.0
16700,372.0,49.0,690.0,407.0
16800,373.0,49.0,691.0,408.0
16900,373.0,49.0,690.0,407.0
17000,373.0,49.0,688.0,407.0
17100,373.0,49.0,688.0,406.0
17200,373.0,49.0,687.0,406.0
17300,373.0,49.0,686.0,406.0
17400,372.0,49.0,685.0,407.0
17500,373.0,48.0,685.0,407.0
17600,372.0,49.0,684.0,407.0
17700,373.0,49.0,685.0,406.0
17800,373.0,49.0,684.0,406.0
17900,372.0,49.0,684.0,405.0
18000,372.0,49.0,684.0,404.0
18100,373.0,48.0,685.0,404.0
18200,373.0,49.0,685.0,406.0
18300,373.0,49.0,686.0,406.0
18400,373.0,48.0,686.0,405.0
18500,372.0,49.0,686.0,405.0
18600,372.0,49.0,685.0,405.0
18700,373.0,48.0,686.0,405.0
18800,373.0,49.0,687.0,405.0
18900,372.0,49.0,687.0,406.0
19000,373.0,48.0,688.0,404.0
19100,372.0,49.0,689.0,406.0
19200,373.0,48.0,689.0,407.0
19300,373.0,49.0,690.0,406.0
19400,372.0,49.0,691.0,407.0
19500,372.0,49.0,691.0,407.0
