timestamp,gas1,gas2,gas3,gas4
0,419.0,55.0,426.0,96.0
100,415.0,55.0,422.0,95.0
200,411.0,55.0,418.0,95.0
300,407.0,55.0,414.0,95.0
400,402.0,55.0,411.0,93.0
500,399.0,55.0,408.0,93.0
600,395.0,54.0,406.0,93.0
700,392.0,55.0,405.0,92.0
800,389.0,54.0,404.0,92.0
900,387.0,54.0,403.0,91.0
1000,384.0,55.0,402.0,92.0
1100,380.0,55.0,403.0,90.0
1200,378.0,55.0,402.0,92.0
1300,376.0,55.0,400.0,91.0
1400,373.0,54.0,400.0,92.0
1500,370.0,54.0,398.0,91.0
1600,368.0,54.0,395.0,92.0
1700,366.0,54.0,390.0,91.0
1800,363.0,54.0,387.0,91.0
1900,360.0,53.0,384.0,91.0
2000,357.0,54.0,379.0,90.0
2100,355.0,53.0,376.0,91.0
2200,350.0,53.0,373.0,91.0
2300,348.0,53.0,370.0,91.0
2400,345.0,54.0,366.0,91.0
2500,342.0,53.0,365.0,92.0
2600,340.0,54.0,362.0,92.0
2700,338.0,54.0,362.0,92.0
2800,336.0,54.0,362.0,93.0
2900,334.0,54.0,360.0,93.0
3000,332.0,54.0,360.0,92.0
3100,331.0,54.0,359.0,92.0
3200,329.0,54.0,359.0,92.0
3300,329.0,54.0,359.0,94.0
3400,328.0,54.0,359.0,93.0
3500,327.0,55.0,360.0,94.0
3600,327.0,54.0,363.0,94.0
3700,328.0,55.0,366.0,94.0
3800,328.0,56.0,371.0,95.0
3900,332.0,55.0,375.0,95.0
4000,338.0,56.0,374.0,95.0
4100,342.0,56.0,372.0,93.0
4200,345.0,56.0,370.0,93.0
4300,348.0,57.0,367.0,92.0
4400,350.0,57.0,364.0,91.0
4500,352.0,58.0,360.0,90.0
4600,352.0,58.0,357.0,89.0
4700,351.0,58.0,353.0,87.0
4800,349.0,58.0,349.0,86.0
4900,348.0,58.0,347.0,86.0
5000,346.0,58.0,345.0,85.0
5100,345.0,58.0,343.0,84.0
5200,345.0,57.0,340.0,83.0
5300,344.0,58.0,338.0,83.0
5400,344.0,58.0,337.0,82.0
5500,343.0,58.0,336.0,81.0
5600,342.0,57.0,334.0,81.0
5700,341.0,58.0,332.0,80.0
5800,340.0,57.0,331.0,79.0
5900,338.0,58.0,330.0,78.0
6000,336.0,58.0,329.0,78.0
6100,334.0,57.0,327.0,77.0
6200,332.0,57.0,325.0,76.0
6300,331.0,57.0,323.0,76.0
6400,328.0,57.0,321.0,75.0
6500,326.0,57.0,319.0,75.0
6600,324.0,57.0,318.0,74.0
6700,322.0,56.0,317.0,74.0
6800,319.0,57.0,316.0,74.0
6900,317.0,56.0,314.0,74.0
7000,316.0,57.0,314.0,73.0
7100,314.0,56.0,313.0,74.0
7200,313.0,56.0,313.0,74.0
7300,312.0,56.0,313.0,73.0
7400,312.0,57.0,313.0,74.0
7500,313.0,56.0,314.0,75.0
7600,312.0,57.0,315.0,75.0
7700,313.0,56.0,315.0,75.0
7800,314.0,57.0,316.0,76.0
7900,316.0,57.0,318.0,77.0
8000,318.0,57.0,319.0,77.0
8100,320.0,57.0,321.0,77.0
8200,324.0,57.0,324.0,78.0
8300,327.0,57.0,327.0,80.0
8400,332.0,58.0,331.0,80.0
8500,337.0,57.0,334.0,81.0
8600,340.0,58.0,339.0,81.0
8700,346.0,58.0,342.0,81.0
8800,351.0,58.0,348.0,83.0
8900,356.0,58.0,353.0,84.0
9000,362.0,58.0,357.0,84.0
9100,368.0,59.0,361.0,85.0
9200,373.0,58.0,366.0,86.0
9300,379.0,58.0,371.0,87.0
9400,384.0,58.0,376.0,88.0
9500,390.0,59.0,380.0,89.0
9600,395.0,59.0,385.0,90.0
9700,401.0,59.0,390.0,90.0
9800,406.0,60.0,395.0,90.0
9900,411.0,60.0,399.0,91.0
10000,414.0,59.0,404.0,92.0
10100,417.0,60.0,408.0,93.0
10200,416.0,59.0,412.0,94.0
10300,415.0,60.0,414.0,94.0
10400,413.0,60.0,415.0,95.0
10500,412.0,59.0,418.0,95.0
10600,412.0,59.0,418.0,95.0
10700,413.0,59.0,421.0,95.0
10800,414.0,59.0,421.0,94.0
10900,415.0,59.0,423.0,94.0
11000,419.0,58.0,424.0,95.0
11100,420.0,59.0,425.0,95.0
11200,422.0,59.0,426.0,95.0
11300,419.0,58.0,426.0,95.0
11400,418.0,59.0,424.0,96.0
11500,414.0,58.0,421.0,95.0
11600,412.0,58.0,418.0,95.0
11700,408.0,58.0,414.0,96.0
11800,404.0,58.0,411.0,95.0
11900,401.0,58.0,406.0,95.0
12000,396.0,58.0,403.0,94.0
12100,392.0,57.0,400.0,93.0
12200,388.0,57.0,395.0,93.0
12300,385.0,57.0,393.0,91.0
12400,381.0,56.0,389.0,92.0
12500,378.0,57.0,387.0,91.0
12600,375.0,56.0,386.0,90.0
12700,372.0,56.0,383.0,89.0
12800,370.0,56.0,382.0,89.0
12900,368.0,57.0,382.0,90.0
13000,368.0,57.0,381.0,90.0
13100,368.0,57.0,382.0,89.0
13200,368.0,56.0,383.0,89.0
13300,370.0,57.0,384.0,89.0
13400,371.0,56.0,385.0,89.0
13500,372.0,57.0,385.0,89.0
13600,374.0,56.0,386.0,89.0
13700,376.0,56.0,388.0,89.0
13800,378.0,57.0,390.0,89.0
13900,382.0,57.0,391.0,88.0
14000,387.0,57.0,392.0,90.0
14100,392.0,57.0,394.0,89.0
14200,397.0,57.0,393.0,90.0
14300,401.0,57.0,393.0,90.0
14400,406.0,57.0,395.0,90.0
14500,411.0,57.0,395.0,91.0
14600,415.0,57.0,396.0,90.0
14700,419.0,58.0,398.0,91.0
14800,424.0,59.0,400.0,91.0
14900,428.0,58.0,404.0,92.0
15000,432.0,59.0,406.0,92.0
15100,434.0,59.0,411.0,93.0
15200,436.0,59.0,415.0,93.0
15300,437.0,59.0,416.0,93.0
15400,437.0,59.0,418.0,93.0
15500,436.0,59.0,419.0,94.0
15600,435.0,59.0,418.0,93.0
15700,432.0,59.0,416.0,94.0
15800,430.0,58.0,415.0,93.0
15900,427.0,58.0,414.0,92.0
