timestamp,gas1,gas2,gas3,gas4
0,352.0,36.0,273.0,64.0
100,352.0,36.0,272.0,64.0
200,352.0,36.0,272.0,64.0
300,352.0,36.0,272.0,64.0
400,352.0,37.0,273.0,64.0
500,352.0,36.0,273.0,63.0
600,352.0,36.0,272.0,64.0
700,352.0,36.0,272.0,63.0
800,352.0,37.0,271.0,64.0
900,352.0,36.0,272.0,64.0
1000,352.0,36.0,272.0,64.0
1100,352.0,36.0,272.0,64.0
1200,352.0,37.0,272.0,64.0
1300,352.0,36.0,272.0,64.0
1400,351.0,36.0,272.0,64.0
1500,352.0,36.0,272.0,64.0
1600,352.0,37.0,272.0,63.0
1700,351.0,36.0,272.0,64.0
1800,352.0,37.0,271.0,64.0
1900,352.0,36.0,272.0,64.0
2000,352.0,36.0,271.0,64.0
2100,351.0,36.0,271.0,64.0
2200,352.0,36.0,271.0,64.0
2300,351.0,36.0,271.0,64.0
2400,351.0,36.0,271.0,64.0
2500,351.0,35.0,272.0,63.0
2600,351.0,36.0,271.0,64.0
2700,352.0,36.0,271.0,63.0
2800,351.0,36.0,271.0,64.0
2900,351.0,37.0,271.0,63.0
3000,351.0,36.0,272.0,63.0
3100,352.0,36.0,271.0,64.0
3200,352.0,36.0,271.0,64.0
3300,352.0,36.0,272.0,63.0
3400,351.0,36.0,271.0,63.0
3500,351.0,36.0,272.0,64.0
3600,351.0,36.0,271.0,63.0
3700,351.0,35.0,272.0,63.0
3800,351.0,36.0,272.0,64.0
3900,351.0,36.0,272.0,64.0
4000,352.0,36.0,271.0,63.0
4100,351.0,36.0,272.0,64.0
4200,351.0,36.0,271.0,63.0
4300,352.0,36.0,272.0,64.0
4400,352.0,36.0,271.0,64.0
4500,351.0,36.0,271.0,62.0
4600,352.0,36.0,271.0,63.0
4700,351.0,36.0,271.0,64.0
4800,352.0,36.0,271.0,64.0
4900,352.0,36.0,271.0,64.0
5000,351.0,36.0,272.0,64.0
5100,351.0,36.0,271.0,63.0
5200,352.0,36.0,271.0,63.0
5300,351.0,36.0,271.0,63.0
5400,351.0,36.0,271.0,64.0
5500,351.0,36.0,271.0,63.0
5600,351.0,36.0,271.0,63.0
5700,351.0,36.0,271.0,63.0
5800,351.0,36.0,270.0,63.0
5900,352.0,36.0,271.0,63.0
6000,352.0,36.0,272.0,63.0
6100,352.0,36.0,271.0,63.0
6200,352.0,36.0,271.0,63.0
6300,352.0,37.0,272.0,64.0
6400,352.0,36.0,272.0,64.0
6500,352.0,36.0,272.0,63.0
6600,352.0,36.0,272.0,64.0
6700,352.0,36.0,271.0,64.0
6800,352.0,36.0,272.0,64.0
6900,353.0,36.0,272.0,63.0
7000,351.0,36.0,271.0,64.0
7100,352.0,36.0,272.0,64.0
7200,352.0,36.0,271.0,63.0
7300,352.0,36.0,270.0,64.0
7400,352.0,36.0,272.0,63.0
7500,352.0,36.0,271.0,64.0
7600,352.0,36.0,271.0,64.0
7700,352.0,37.0,271.0,63.0
7800,352.0,36.0,272.0,63.0
7900,352.0,36.0,271.0,63.0
8000,353.0,36.0,271.0,63.0
8100,353.0,36.0,272.0,64.0
8200,352.0,36.0,272.0,63.0
8300,353.0,37.0,271.0,63.0
8400,352.0,36.0,272.0,64.0
8500,353.0,36.0,272.0,64.0
8600,352.0,36.0,272.0,64.0
8700,352.0,36.0,272.0,64.0
8800,353.0,36.0,272.0,64.0
8900,352.0,36.0,272.0,63.0
9000,352.0,37.0,272.0,64.0
9100,353.0,37.0,273.0,64.0
9200,352.0,36.0,272.0,63.0
9300,352.0,36.0,271.0,64.0
9400,353.0,35.0,272.0,64.0
9500,353.0,36.0,272.0,63.0
9600,353.0,37.0,272.0,63.0
9700,352.0,36.0,273.0,64.0
9800,353.0,36.0,272.0,64.0
9900,352.0,36.0,273.0,64.0
10000,353.0,35.0,272.0,63.0
10100,353.0,36.0,273.0,63.0
10200,351.0,36.0,273.0,64.0
10300,353.0,36.0,272.0,64.0
10400,352.0,36.0,273.0,64.0
10500,353.0,37.0,273.0,64.0
10600,353.0,36.0,272.0,63.0
10700,353.0,36.0,273.0,64.0
10800,352.0,36.0,273.0,63.0
